Surge (m),Sway (m),Heave (m),Roll (deg),Pitch (deg),Yaw (deg),Vessel x0Acc rel. g (m/s^2),Vessel y0Acc rel. g (m/s^2),Vessel z0Acc rel. g (m/s^2),Vessel x0Ang Vel (deg/s),Vessel y0Ang Vel (deg/s),Vessel z0Ang Vel (deg/s),Num Category
0.026666339,0.407392657,27.79712681,0.081251137,0.06423905,0.034928197,0.005675254,0.123186572,9.731449591,0.490098143,0.054175296,0.034266842,2
0.029240833,0.33870832,27.61170689,0.170887384,0.088497227,0.017105663,0.009652176,0.055487333,9.785929375,0.513105315,0.042137905,0.036604361,2
0.030439182,0.248897891,27.4210483,0.425935506,0.105931358,0.001134419,0.012374183,0.015617288,9.839787632,0.501303442,0.02679669,0.036316176,2
0.030194397,0.144856669,27.23857798,0.666060838,0.115243447,0.018625469,0.014197683,0.090937283,9.890303748,0.453490783,0.009590454,0.033559591,2
0.02853626,0.034839202,27.07696541,0.873594588,0.115824987,0.034168532,0.014926251,0.162565659,9.933319312,0.371426354,0.008044149,0.028241742,3
0.025590546,0.072474361,26.94712426,1.032391417,0.107800916,0.04667795,0.01434709,0.223038037,9.965708264,0.259450579,0.024585379,0.020987459,3
0.021544227,0.168969503,26.8573929,1.129149158,0.092006477,0.055367151,0.012807152,0.270104034,9.986164694,0.124580156,0.038762397,0.012375713,3
0.01667315,0.247327049,26.81308186,1.154610609,0.069849016,0.059686949,0.010229782,0.296886795,9.993031865,0.024173957,0.049569821,0.003101059,3
0.011292485,0.30195272,26.81606356,1.104375635,0.043197208,0.059481109,0.007053415,0.303858589,9.986846745,0.176425921,0.05630275,0.005972215,3
0.005768489,0.328903782,26.86481492,0.979479436,0.014174045,0.054853653,0.003627929,0.289844639,9.96811321,0.321009259,0.058716648,0.014528688,3
0.000491694,0.326352134,26.95451824,0.786434064,0.014998262,0.046179466,0.000407026,0.248865937,9.936823097,0.447370267,0.056692078,0.021616241,3
0.004265186,0.295867242,27.07719032,0.536775709,0.042069676,0.034425471,0.004334633,0.189603618,9.89660806,0.545947212,0.050386339,0.026253038,3
0.008300572,0.241235831,27.22258013,0.246523138,0.065014843,0.0207659,0.007433994,0.119708958,9.851104738,0.608565533,0.040503545,0.028707672,2
0.01141552,0.167446632,27.37913064,0.064844982,0.082235544,0.006230652,0.009893009,0.038936131,9.802504843,0.62975278,0.027912417,0.029220316,2
0.013504143,0.081342044,27.53464536,0.375921979,0.092585876,0.008079064,0.011889846,0.05000974,9.753877313,0.607295491,0.013478866,0.02745291,2
0.014640303,0.008156449,27.67710447,0.66500568,0.09539221,0.020817606,0.013256718,0.138838782,9.709661342,0.542189861,0.001848228,0.022956566,2
0.015044726,0.091317296,27.79579492,0.911600055,0.090551927,0.0306165,0.013088536,0.211893687,9.675849664,0.438180221,0.016780212,0.016285817,2
0.014895887,0.160205681,27.88260169,1.097754834,0.078691883,0.036723623,0.011405313,0.265636237,9.654744075,0.301800526,0.029809353,0.008957396,1
0.014306877,0.208966121,27.93251957,1.20959694,0.061079874,0.038968464,0.009216118,0.30453977,9.64595916,0.142763627,0.039905954,0.001387705,1
0.013464992,0.232752295,27.94364281,1.238659182,0.039382801,0.037257885,0.00628212,0.31920727,9.6518028,0.027336523,0.046345518,0.006304511,1
0.012539872,0.22923588,27.91751464,1.182451741,0.015609604,0.031867285,0.00250838,0.305657296,9.672017404,0.196251532,0.048434476,0.012973006,1
0.011598633,0.199379936,27.85900667,1.044736237,0.008027632,0.02360797,0.001256021,0.270442131,9.702874319,0.351308085,0.046025086,0.017916093,1
0.010691303,0.146339367,27.77554964,0.83548907,0.029404972,0.013447339,0.004740066,0.214567751,9.741602615,0.480579154,0.039515853,0.020965666,2
0.009848203,0.075348743,27.67644789,0.570176935,0.046669979,0.002455442,0.007771462,0.141089973,9.784544853,0.574154986,0.029596994,0.021745148,2
0.00905565,0.00650542,27.5720474,0.268589398,0.058393762,0.00821294,0.009900089,0.057714781,9.827014016,0.624746891,0.017330895,0.020215027,2
0.008289561,0.091229934,27.47270379,0.046652483,0.063725932,0.01752145,0.01104232,0.030315543,9.865371225,0.628446826,0.004006601,0.016649573,2
0.007502942,0.170376087,27.38790298,0.351940918,0.062443077,0.024576593,0.011263791,0.117291948,9.896427824,0.585244866,0.009093199,0.011261565,2
0.006597818,0.235448032,27.32547645,0.624633606,0.054928628,0.028597689,0.010636557,0.196480788,9.917529956,0.498984539,0.02077379,0.004326722,2
0.005418151,0.27856538,27.29090492,0.84490694,0.042114269,0.028939935,0.009203146,0.260032435,9.926624916,0.377003097,0.030016043,0.003761005,3
0.003787198,0.29361071,27.2867077,0.997299506,0.025413553,0.025251496,0.006610656,0.296640747,9.921876369,0.229247642,0.035918331,0.01195329,3
0.001630739,0.278017989,27.3119423,1.071806091,0.006674621,0.017858567,0.003106958,0.304336666,9.904427481,0.067538932,0.037799524,0.018629319,3
0.001005102,0.232862132,27.36239406,1.064710165,0.012026028,0.007689551,0.000443798,0.287910897,9.877327873,0.09495333,0.035573483,0.023059456,3
